,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,"""I'm sorry, international fans""

*Cries in Philippines while eating angel's burger*",UgxTQx4UK1GxX8csGQN4AaABAg,http://www.youtube.com/channel/UCRvvUJye_0IPDEXT5kUXdHw,Allona Shanley Magpantay,0,0,2021-01-13 16:59:52+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
1,Relatable,UgxU3cNgqkyGMDAuXxJ4AaABAg,http://www.youtube.com/channel/UC8FTumc39Z00Vn5rOWNCbnQ,Sagar Gwal,0,0,2021-01-13 16:59:46+00:00,LeYsRMZFUq0,0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2021-01-13
2,How do you Gus love that crap,UgyUaDvKrt8ioZ7QTbh4AaABAg,http://www.youtube.com/channel/UCnF6pvaO6iYSnYQZkNoPJaw,Noah Rodriguez,0,0,2021-01-13 16:59:43+00:00,A-vX1AGBGsc,0,I Went Back To 1st Grade For A Day,2021-01-13
3,I wouldn’t be surprised if MrBeast became one of the richest people on Earth. He would deserve it.,UgwBA9pqqOVRBKXl17B4AaABAg,http://www.youtube.com/channel/UCOQ-Z0f0gWPtGQcoWHYZdKg,TheFlaaa,0,0,2021-01-13 16:59:43+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
4,Chandler:eats a rose,UgxhD7F8V6WUiYXvA5F4AaABAg,http://www.youtube.com/channel/UCZocmKEhNiRotwMARBRiTCA,Emilija Mikuckyte,0,0,2021-01-13 16:59:43+00:00,i6OUv48w1bk,0,"Surprising My Girlfriend With 100,000 Roses For Valentines Day",2021-01-13
5,Wow,UgwOAH6LhDlq6W-RK0p4AaABAg,http://www.youtube.com/channel/UCiisH62D33DOLvBsDOJyYvw,BOLLINENI HAASITHVENKATA NANDA 1201394 DPSN-STD,0,0,2021-01-13 16:59:42+00:00,IoZri9hq7z4,0,I Uber’d People And Let Them Keep The Car,2021-01-13
6,I SAW MR.BEAST GET TO 51 MILLION!,Ugy6_g7-2ucDoMzInnd4AaABAg,http://www.youtube.com/channel/UCsn4qBZCXNRRk1W3KRxPmMQ,Crazy Meteor Gaming,0,0,2021-01-13 16:59:33+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
7,True,UgyXsShVTlJOoQiBiMV4AaABAg,http://www.youtube.com/channel/UCviOfqhRWunsSK9T-fPMDnQ,Mckinlea plays With Bella,0,0,2021-01-13 16:59:31+00:00,Dc2ZRmuH5OM,0,"Steal This $100,000 Diamond, You Keep It",2021-01-13
8,Buy a franchise,Ugw4siaFMZnIM-qKFml4AaABAg,http://www.youtube.com/channel/UC7T8RLjnUF0gnLuH1y_b3Rw,Gk_alzo,0,0,2021-01-13 16:59:21+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
9,"Iv heard people say you shouldnt donate to salvation army, i cant remem why",Ugwx4L-A0WwTzwNAS2p4AaABAg,http://www.youtube.com/channel/UCq82oMVHH2p6MDFCzySWNiA,Ashley AMV,0,0,2021-01-13 16:59:06+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
